chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2105673,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105674,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105675,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105676,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105677,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105678,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105679,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105680,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105681,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105683,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105685,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105686,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105687,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105689,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105691,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105692,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105694,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105695,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105696,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105697,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105698,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105699,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
